Annual Return (%),Annual Volatility (%),Sharpe Ratio
16.8881,14.8375,0.8012
15.5098,13.9588,0.7529
17.7043,17.2137,0.738
18.4725,16.5404,0.8145
16.7142,15.8745,0.7379
14.6559,14.7879,0.653
24.8669,21.2576,0.9346
20.6528,17.6251,0.8881
22.4623,19.1759,0.9106
21.09,17.9054,0.8986
21.0815,16.348,0.9837
17.6823,16.596,0.7642
16.8534,14.9761,0.7915
16.6206,15.1745,0.7658
16.4706,15.7529,0.7282
14.097,14.8591,0.6122
23.7877,18.0939,1.0383
18.9681,16.924,0.8253
20.6446,17.083,0.9158
15.0354,15.2335,0.6588
21.1263,17.638,0.9143
21.6825,17.5387,0.9512
21.3473,19.3878,0.8432
15.6004,13.5652,0.7814
20.715,17.2186,0.9127
16.4538,14.1978,0.8067
24.0977,18.4101,1.0374
23.2991,18.6049,0.9836
20.6072,15.5293,1.005
20.2775,16.6636,0.9168
21.5292,16.921,0.9768
13.683,16.0523,0.5409
20.2639,18.9005,0.8076
22.3821,17.9542,0.9681
24.9227,22.3906,0.8898
24.1841,17.3114,1.1082
18.8907,18.0177,0.7709
17.1417,14.8097,0.8198
19.6748,18.317,0.8012
13.8757,17.761,0.4997
22.1491,17.0306,1.007
16.6038,16.7604,0.6923
22.2769,17.7123,0.9754
21.9638,19.518,0.8691
21.8837,15.8578,1.0647
15.2419,14.2098,0.7208
17.1127,17.6551,0.6861
18.4015,16.8129,0.7971
18.7085,15.3322,0.8941
19.0162,15.7646,0.8891
22.7855,17.5638,1.0126
20.3797,16.4244,0.9364
18.7947,20.5481,0.6713
20.4169,16.101,0.9575
18.4071,17.8643,0.7505
21.852,17.138,0.9833
19.897,16.9623,0.8782
15.1149,14.7056,0.6878
22.78,18.1343,0.9805
20.281,17.7014,0.8633
15.8207,17.1155,0.6322
16.3678,16.7243,0.6797
15.544,15.3239,0.6881
13.1069,14.5321,0.5579
15.4976,16.0176,0.6554
16.3748,14.8342,0.7668
18.4615,18.0316,0.7466
17.3403,16.073,0.7678
14.9041,14.1278,0.701
21.7226,18.4662,0.9056
22.5278,17.2303,1.0173
18.4088,16.8045,0.7979
14.6322,15.541,0.6198
16.8277,16.5056,0.7166
15.7254,16.7436,0.6406
16.7505,15.9132,0.7384
23.0593,20.041,0.9011
25.6683,20.0288,1.0319
22.3436,18.0988,0.9583
21.4935,17.7614,0.9286
19.2025,16.8202,0.8444
16.5705,15.6873,0.7376
19.1195,14.9698,0.9432
17.2099,16.732,0.7297
21.4353,17.57,0.9354
19.0742,15.2109,0.9253
23.9637,19.2418,0.9855
19.403,17.2484,0.835
17.768,16.5269,0.7726
17.4073,16.8651,0.7357
22.0985,19.4023,0.8813
17.2266,16.144,0.7573
17.3322,15.9426,0.7735
22.5885,17.9926,0.9775
20.0065,15.8343,0.9477
16.8714,17.2579,0.6879
17.8647,16.8864,0.7618
15.964,14.5377,0.7542
23.7118,18.4087,1.0165
24.1686,19.9468,0.961
18.6851,14.2557,0.96
21.5591,18.5405,0.8931
22.8627,19.6287,0.91
20.6742,16.8298,0.9313
21.6279,18.0729,0.92
20.9114,16.3833,0.9712
21.0803,19.3417,0.8314
15.9433,15.7248,0.6959
25.6143,19.237,1.0716
16.6908,16.0386,0.7289
21.5924,16.9743,0.9775
19.6611,16.23,0.9033
22.0779,16.8857,1.0114
19.2,14.9585,0.9493
22.286,18.0238,0.9591
23.5341,19.931,0.9299
14.6269,16.0171,0.601
17.201,18.5854,0.6565
25.7644,23.7642,0.8738
21.7714,18.4992,0.9066
21.5977,18.5117,0.8966
22.494,17.3357,1.0091
15.6511,14.4562,0.7368
22.8372,19.6078,0.9097
17.6695,14.3286,0.8842
15.1748,13.7662,0.7391
19.4762,18.7326,0.7728
16.7988,15.9826,0.7382
18.1467,16.369,0.8031
21.2554,17.9773,0.9042
18.745,16.7504,0.8206
15.6278,15.6573,0.6788
16.1596,17.2204,0.648
20.1792,19.3215,0.7856
21.2558,18.471,0.8801
26.2763,19.1756,1.1096
19.5085,18.0108,0.8055
17.0082,16.3026,0.7366
17.4646,15.5783,0.8001
23.8307,17.4494,1.0792
16.6503,17.4984,0.6658
16.2851,14.9696,0.7539
21.4019,16.8235,0.9749
22.0695,18.1867,0.9386
16.2548,15.4671,0.7277
23.5264,22.2792,0.8316
20.0019,17.5951,0.8526
20.0277,18.1444,0.8282
18.1582,16.832,0.7817
16.7336,14.0175,0.8371
18.9961,15.6117,0.8965
15.1074,15.5401,0.6504
17.7994,16.3122,0.7846
23.422,17.4739,1.0543
21.8544,20.2529,0.8322
15.2991,15.7461,0.6541
18.7736,18.4689,0.7458
13.4303,16.6371,0.5067
22.6849,17.4574,1.013
19.2096,15.286,0.9296
17.859,15.8339,0.8121
19.1545,18.0656,0.7835
22.1208,18.224,0.9395
14.5394,17.7095,0.5387
24.0908,20.8966,0.9136
18.8244,17.315,0.7984
22.6245,18.8823,0.9334
19.7107,16.4236,0.8957
23.3718,19.7015,0.9325
20.7302,15.67,1.0038
23.953,19.9066,0.9521
27.68,23.5324,0.9638
17.7891,17.1186,0.7471
19.7748,19.2556,0.7673
23.3661,19.5051,0.9416
18.1493,18.3748,0.7156
18.5188,16.2439,0.8322
23.299,21.2908,0.8595
18.3692,17.0889,0.7823
21.7704,17.8119,0.9415
19.2527,17.0535,0.8358
16.3822,15.8312,0.719
17.1497,17.5396,0.6927
17.5861,16.3965,0.7676
13.8833,13.937,0.6374
19.6409,16.5017,0.8872
17.7317,17.9664,0.7086
18.0737,18.0423,0.7246
16.4557,17.3358,0.6608
24.1374,18.6378,1.0268
17.4656,15.2265,0.8187
17.1424,15.1122,0.8035
21.5175,16.6686,0.9909
22.0263,19.2019,0.8867
18.4584,14.4547,0.9311
19.035,18.2955,0.7671
22.4419,17.9415,0.9722
22.2725,18.8466,0.9165
16.2452,16.291,0.6903
19.0003,15.8056,0.8858
18.6531,17.7467,0.7693
14.4925,13.7672,0.6895
15.8367,16.6164,0.6522
17.4466,16.4999,0.7543
16.31,14.0894,0.8027
21.2623,17.8364,0.9117
19.0528,16.8658,0.8332
23.3235,19.4604,0.9416
21.306,19.3103,0.8444
19.5534,17.2253,0.8449
14.2819,13.9584,0.665
21.6841,18.1791,0.9178
19.2266,16.9976,0.837
15.5461,16.1468,0.6531
18.2193,14.6645,0.9014
20.2934,16.9838,0.9005
18.4523,18.795,0.7157
20.6069,15.7874,0.9886
20.9175,16.5512,0.9617
21.4463,18.1094,0.9082
18.6314,19.8495,0.6867
21.9974,18.8171,0.9033
15.655,17.5984,0.6055
18.0288,15.291,0.8521
17.5392,15.7121,0.7981
18.1415,16.6496,0.7893
20.8781,16.1106,0.9856
16.2466,13.866,0.8111
15.5273,15.1669,0.6941
14.8553,14.37,0.6858
17.7886,17.6726,0.7236
14.6598,14.5687,0.6631
15.858,16.5996,0.6541
18.9569,16.465,0.8477
18.6015,16.6107,0.8188
18.9601,16.5603,0.843
25.0186,18.1573,1.1025
17.4176,16.5115,0.7521
22.894,16.591,1.0785
18.7177,16.2853,0.8423
16.9448,16.3864,0.7289
15.6817,15.0383,0.7103
16.0593,13.8343,0.7994
19.1692,16.3964,0.8642
14.0184,16.0595,0.5616
25.0267,18.4931,1.0829
22.8137,20.6686,0.8619
22.2955,16.5241,1.0467
21.5952,16.5199,1.0046
14.5965,17.1571,0.5593
19.6954,15.9263,0.9227
18.0111,15.6589,0.8309
20.741,18.8261,0.8361
19.715,16.8753,0.872
21.9466,17.7007,0.9574
15.6292,15.0191,0.7077
15.3382,16.3378,0.6328
22.9869,19.976,0.9004
19.4204,16.5203,0.8729
14.7974,14.6355,0.6694
16.8607,14.9406,0.7939
21.8157,20.4661,0.8216
20.2539,16.1887,0.9423
20.6438,18.3052,0.8546
14.5177,15.9425,0.597
17.9732,14.5201,0.8935
14.0782,16.0628,0.5652
20.7395,16.5839,0.9491
17.845,16.9865,0.7562
16.386,14.6871,0.7752
20.0313,16.9046,0.8892
